stage	line	before	after
whitespace	1113	## ¶ Whileſt the vii. Seale is opened, and the Aungels with trompettes come forth, Chriſt the interceſſour of his church offereth vp before his father the praiers of his faithful. The .xxxvij. Sermon.	## ¶ Whileſt the vii. Seale is opened, and the Aungels with trompettes come forth, Chriſt the interceſſour of his church offereth vp before his father the praiers of his faithful. The.xxxvij. Sermon.
whitespace	1117	I ſuppoſe ther be no bokes in the world, of whomſoeuer,[note 37.2] or when ſoeuer they were written, which maye copare with the bokes of holy ſcripture, as concerning the ſincere veritie, pure ſimplecitie, and plaine order. Nother perauenture that maye ſeme any maruell to any man, knowing that the ſame are written in dede of men, but inſpired of the holy ghoſte. There be edifices moſt ſkilfully builded of men, and framed and cotriued in a moſt goodly order. But what beaultie wil you iudge them to haue, in caſe the compare them with the creation of the worlde, and with that moſt beaultifull order, whiche we ſee dayly in all thinges created, and chaungeable courſe of times? the moſte excellent workes of men haue nothyng in them, yea ſeme vile, in caſe you compare them with the workemanſhip of God the creatour.[note 37.3] But for the moſte bright order and moſt playne treatiſe this boke of the Apocalipſe hath emonges others moſte notable, an excellent and wonderfull prayſe. S. Iohn promiſed a ſome of the matter, ſignifiyng that he wold ſpeake of thoſe thinges, which ſhuld be done in the church from his time vntil the iudgemet. And the faithfull doe knowe to what ende they ſhould take thoſe thinges, not to thintent their curioſitie might be mainteined or ſatiſfied: but that they ſufficiently warned before, ſhuld not fal, but take hede to themſelues and hold faſte the true ſaluatio. And foraſmuch as there is muche talke emonges men; whie God doeth thus, or permitteth that, and whie he prohibiteth not theſe or thoſe thinges: S. Iohn hath exhibited to vs a moſt holeſom viſio, by the which we may learne not to talke againſt God, and not to contende with him but to acknowledge, al his iudgments to be rightuouſe and iuſt. Which thing verely both al the Sainctes in heauen, and alſo angelicall ſpirites do acknowledge, and attribute to God al glory. And thus hauing prepared the mindes of the Auditours, he cometh to the thing it ſelf, and declareth the fatall deſtenies of the church. Vnder the vi. ſeale he toucheth generally the corruptio of doctrine, which ſins it is more perillouſe and more peſtilent than al dau gers of mans body, or outwarde perilles, he reaſoneth yet more fully therof: and nowe particularly vnder the opening of the vii. ſeale reciteth, howe farre the ſame ſtretcheth. For he declareth how many, how great, and what maner of ſectes, hereſies and troubles ſhall arriſe in the church, and howe hurtful they ſhal be to the churche. And this place conteyneth an Hiſtorie of the corrupte doctrine, of hereſies or ſectes and troubles euer ſins the time of S. Iohn vnto the laſt iudgemet: It is extended through out the .8.9.10.11. chapt.	I ſuppoſe ther be no bokes in the world, of whomſoeuer,[note 37.2] or when ſoeuer they were written, which maye copare with the bokes of holy ſcripture, as concerning the ſincere veritie, pure ſimplecitie, and plaine order. Nother perauenture that maye ſeme any maruell to any man, knowing that the ſame are written in dede of men, but inſpired of the holy ghoſte. There be edifices moſt ſkilfully builded of men, and framed and cotriued in a moſt goodly order. But what beaultie wil you iudge them to haue, in caſe the compare them with the creation of the worlde, and with that moſt beaultifull order, whiche we ſee dayly in all thinges created, and chaungeable courſe of times? the moſte excellent workes of men haue nothyng in them, yea ſeme vile, in caſe you compare them with the workemanſhip of God the creatour.[note 37.3] But for the moſte bright order and moſt playne treatiſe this boke of the Apocalipſe hath emonges others moſte notable, an excellent and wonderfull prayſe. S. Iohn promiſed a ſome of the matter, ſignifiyng that he wold ſpeake of thoſe thinges, which ſhuld be done in the church from his time vntil the iudgemet. And the faithfull doe knowe to what ende they ſhould take thoſe thinges, not to thintent their curioſitie might be mainteined or ſatiſfied: but that they ſufficiently warned before, ſhuld not fal, but take hede to themſelues and hold faſte the true ſaluatio. And foraſmuch as there is muche talke emonges men; whie God doeth thus, or permitteth that, and whie he prohibiteth not theſe or thoſe thinges: S. Iohn hath exhibited to vs a moſt holeſom viſio, by the which we may learne not to talke againſt God, and not to contende with him but to acknowledge, al his iudgments to be rightuouſe and iuſt. Which thing verely both al the Sainctes in heauen, and alſo angelicall ſpirites do acknowledge, and attribute to God al glory. And thus hauing prepared the mindes of the Auditours, he cometh to the thing it ſelf, and declareth the fatall deſtenies of the church. Vnder the vi. ſeale he toucheth generally the corruptio of doctrine, which ſins it is more perillouſe and more peſtilent than al dau gers of mans body, or outwarde perilles, he reaſoneth yet more fully therof: and nowe particularly vnder the opening of the vii. ſeale reciteth, howe farre the ſame ſtretcheth. For he declareth how many, how great, and what maner of ſectes, hereſies and troubles ſhall arriſe in the church, and howe hurtful they ſhal be to the churche. And this place conteyneth an Hiſtorie of the corrupte doctrine, of hereſies or ſectes and troubles euer ſins the time of S. Iohn vnto the laſt iudgemet: It is extended through out the.8.9.10.11. chapt.
whitespace	1119	[note 37.4]Neuertheleſſe before the trompettes come forth, for a conſolation as it were by a little digreſſion, is placed a remedy, which the faithful in al ages may vſe in that peſtiferouſe corruption to kepe ſafe their ſoules, and the integritie of the ſame. For many times in this boke are broughte in moſte ſtrong conſolatios in maters of moſt difficultie. For al the .10. chap. ſhall ſerue alſo to this Argument. And the remedy that he ſheweth, is this: that we muſte flee vnto Chriſte redemer of of mankynde, interceſſour and propiciatour. And that we ſhall be ſafe vnder his defence, that we muſte offer vp to him our prayers continually. And verely the Lord in the Goſpel, reaſoninge of the greateſt daungers of the Deuill, prepared for the company of Apoſtles, and beyng at hand. Yet addeth he by and by, that whiche mighte comforte their ſorrowfull mindes: I haue prayed for thee Peter, that thy fayth ſhould not faile, &c. Beholde we are ſaued in greateſt diſtreſſe, thorow Chriſtes protection, that we ſhould not fainte in fayth. Howbeit, as euery where the Euangelicall and Apoſtolicall letters do intimate, our continual prayers, which we offer to God through Chriſt, muſt be ioyned to our truſte in Chriſt. And in fewe wordes the interceſſion of Chriſt at the righte hande of God, and effecte and maner of the prayer of the faithfull are here ſet forth to beholde.	[note 37.4]Neuertheleſſe before the trompettes come forth, for a conſolation as it were by a little digreſſion, is placed a remedy, which the faithful in al ages may vſe in that peſtiferouſe corruption to kepe ſafe their ſoules, and the integritie of the ſame. For many times in this boke are broughte in moſte ſtrong conſolatios in maters of moſt difficultie. For al the.10. chap. ſhall ſerue alſo to this Argument. And the remedy that he ſheweth, is this: that we muſte flee vnto Chriſte redemer of of mankynde, interceſſour and propiciatour. And that we ſhall be ſafe vnder his defence, that we muſte offer vp to him our prayers continually. And verely the Lord in the Goſpel, reaſoninge of the greateſt daungers of the Deuill, prepared for the company of Apoſtles, and beyng at hand. Yet addeth he by and by, that whiche mighte comforte their ſorrowfull mindes: I haue prayed for thee Peter, that thy fayth ſhould not faile, &c. Beholde we are ſaued in greateſt diſtreſſe, thorow Chriſtes protection, that we ſhould not fainte in fayth. Howbeit, as euery where the Euangelicall and Apoſtolicall letters do intimate, our continual prayers, which we offer to God through Chriſt, muſt be ioyned to our truſte in Chriſt. And in fewe wordes the interceſſion of Chriſt at the righte hande of God, and effecte and maner of the prayer of the faithfull are here ſet forth to beholde.
whitespace	1121	But we ſhal declare euery thing in order. He ſpake in general vnder the vi. ſeale of corrupt doctrine, in the ſeuenth he wil declare the ſame particularly and moſt aboudantly. And whileſte the ſeuenth ſeale was opened, there was ſilence in heauen almoſt halfe an howre. Of this ſilece the expoſitours write diuerſely. But as I thinke the hearers are excited by this ſilence to a diligent and attentiue hearyng. For ſilence hath an admiration and an expectation of matters moſte weightie. Salomon ſayeth in the .9. of Eccleſiaſt. the wordes of wiſe menne are hearde in ſilence. When weightie matters ſhould be proclaymed and ſet forth, the crier is woonte to proclayme ſilence. And in dede they be matters of great importaunce that followe, which vnleſſe we obſerue with great attentiuenes, we ſhal periſh in ſectes and ſeductions. Thoſe ſpirituall wickedneſſes be more daungerouſe than corporall perilles.	But we ſhal declare euery thing in order. He ſpake in general vnder the vi. ſeale of corrupt doctrine, in the ſeuenth he wil declare the ſame particularly and moſt aboudantly. And whileſte the ſeuenth ſeale was opened, there was ſilence in heauen almoſt halfe an howre. Of this ſilece the expoſitours write diuerſely. But as I thinke the hearers are excited by this ſilence to a diligent and attentiue hearyng. For ſilence hath an admiration and an expectation of matters moſte weightie. Salomon ſayeth in the.9. of Eccleſiaſt. the wordes of wiſe menne are hearde in ſilence. When weightie matters ſhould be proclaymed and ſet forth, the crier is woonte to proclayme ſilence. And in dede they be matters of great importaunce that followe, which vnleſſe we obſerue with great attentiuenes, we ſhal periſh in ſectes and ſeductions. Thoſe ſpirituall wickedneſſes be more daungerouſe than corporall perilles.
whitespace	1127	[note 37.6]We ſayed in an other place, that the golden Aultar of incenſe, was the Lord Chriſt him ſelfe, whiche is bothe Aultar and ſacrifice and prieſt: as S. Paule witneſſeth to the Hebre. The ſame is called an Aungell, to witte the ſame of whome both Eſaye maket mention in the .9.[note 37.7] Chapt. and alſo Malachie ſaying: beholde I ſende mine Aungel, which ſhal prepare the waye before me, and ſodenly the Lorde ſhall come vnto his temple, whom you ſeke for, and the Aungel of the couenaut, who you deſire: beholde he cometh, ſaieth the lord of hoſtes. The fourmer Aungell, that is to ſaye meſſenger or Ambaſſadour, was Iohn Baptiſte, whiche prepared the waye for the Lord.[note 37.8] He, to witte the later Aungel, came immediately after the preachyng of Iohn, and made complete that euerlaſting couenaunt. The ſame nowe appereth on the right hande of God in Heauen.	[note 37.6]We ſayed in an other place, that the golden Aultar of incenſe, was the Lord Chriſt him ſelfe, whiche is bothe Aultar and ſacrifice and prieſt: as S. Paule witneſſeth to the Hebre. The ſame is called an Aungell, to witte the ſame of whome both Eſaye maket mention in the.9.[note 37.7] Chapt. and alſo Malachie ſaying: beholde I ſende mine Aungel, which ſhal prepare the waye before me, and ſodenly the Lorde ſhall come vnto his temple, whom you ſeke for, and the Aungel of the couenaut, who you deſire: beholde he cometh, ſaieth the lord of hoſtes. The fourmer Aungell, that is to ſaye meſſenger or Ambaſſadour, was Iohn Baptiſte, whiche prepared the waye for the Lord.[note 37.8] He, to witte the later Aungel, came immediately after the preachyng of Iohn, and made complete that euerlaſting couenaunt. The ſame nowe appereth on the right hande of God in Heauen.
whitespace	1129	[note 37.9]And two thinges of him are vttered. Firſte, that he ſtode before, or in, or vpon the Aultar. We may here Imagine nothing corporally: but we muſt thincke that by this maner of ſpeakyng is ſignified the prieſthood of Chriſt. He appereth alwayes in the ſighte of his father, for vs: As S. Paull hath taught the .8. to the Romains, and .9. Chapter to the Hebrewes. He pleadeth therfore the cauſe of his church before God, and is aduocate for the faithfull. The ſame morouer ſtandeth before the Aultar, the ſame ſtandeth in the middes of the ſeate. For he is coequall with the father after his deitie, after the which he ſtandeth in the ſeate: and after his humanitie, is of the ſame ſubſtaunce with vs, according to the which diſpenſation he is red as Biſhop and very man to ſtande before the Aultar. The latter, which is to be obſerued, is this, that chriſt holdeth in his hande a golden cenſer. For he hath taken our very nature without ſinne, that he might make interceſſion for vs, and offer vp our prayers to God the father.	[note 37.9]And two thinges of him are vttered. Firſte, that he ſtode before, or in, or vpon the Aultar. We may here Imagine nothing corporally: but we muſt thincke that by this maner of ſpeakyng is ſignified the prieſthood of Chriſt. He appereth alwayes in the ſighte of his father, for vs: As S. Paull hath taught the.8. to the Romains, and.9. Chapter to the Hebrewes. He pleadeth therfore the cauſe of his church before God, and is aduocate for the faithfull. The ſame morouer ſtandeth before the Aultar, the ſame ſtandeth in the middes of the ſeate. For he is coequall with the father after his deitie, after the which he ſtandeth in the ſeate: and after his humanitie, is of the ſame ſubſtaunce with vs, according to the which diſpenſation he is red as Biſhop and very man to ſtande before the Aultar. The latter, which is to be obſerued, is this, that chriſt holdeth in his hande a golden cenſer. For he hath taken our very nature without ſinne, that he might make interceſſion for vs, and offer vp our prayers to God the father.
whitespace	1133	And becauſe of a further declaration, leeſte we ſhould not know the trewe odours, whiche pleaſe God, and whiche the faithful offer vnto God through Chriſt:[note 37.11] ones or twiſe he addeth, that thoſe odoures be the prayers of Sainctes. And he meaneth by Sainctes, not thoſe that dwel in heauen, but vs in the earth, which are ſanctified with the ſpirit of our God, with the bloud of Chriſt, baptiſme, faith and worde. Iohn .13.[note 37.12] And the prayers be inuocatios, and geuyng of thankes. And he ſaieth expreſſely of al Sainctes, leeſt any ſhould feare that he and his prayers offered by Chriſt were excluded. Yf thou beleue, thou arte holy, and thy prayer is of God accepted. What the prayers of Sainctes be, it appereth in the Lordes prayer, which we offer vp to the father in the name and words of Chriſt: hallowed be thy name, thy kyngedome come, and the reſidewe, which all fight with thoſe ſectes and corruptios of trewe doctrine.	And becauſe of a further declaration, leeſte we ſhould not know the trewe odours, whiche pleaſe God, and whiche the faithful offer vnto God through Chriſt:[note 37.11] ones or twiſe he addeth, that thoſe odoures be the prayers of Sainctes. And he meaneth by Sainctes, not thoſe that dwel in heauen, but vs in the earth, which are ſanctified with the ſpirit of our God, with the bloud of Chriſt, baptiſme, faith and worde. Iohn.13.[note 37.12] And the prayers be inuocatios, and geuyng of thankes. And he ſaieth expreſſely of al Sainctes, leeſt any ſhould feare that he and his prayers offered by Chriſt were excluded. Yf thou beleue, thou arte holy, and thy prayer is of God accepted. What the prayers of Sainctes be, it appereth in the Lordes prayer, which we offer vp to the father in the name and words of Chriſt: hallowed be thy name, thy kyngedome come, and the reſidewe, which all fight with thoſe ſectes and corruptios of trewe doctrine.
whitespace	1135	Ireneus alledgeth this place in the .31. and .32. chapt. of the .4. booke. And by this meane he calleth Euchariſtia whiche is geuing of thankes, the ſacrifice of Chriſtians. For the mainteyners of papiſtrie do corrupte that place, and vtter it ſo, as though it mente that the prieſte ſhould ſacrifice the real body of Chriſt for the quicke and the dead. But the holy Biſſhop of Lions knew this filthie errour. Away with them and their ſophiſtrie, whither they are worthie. I haue ſpoke alſo befor, ſomething of the ſame matter.	Ireneus alledgeth this place in the.31. and.32. chapt. of the.4. booke. And by this meane he calleth Euchariſtia whiche is geuing of thankes, the ſacrifice of Chriſtians. For the mainteyners of papiſtrie do corrupte that place, and vtter it ſo, as though it mente that the prieſte ſhould ſacrifice the real body of Chriſt for the quicke and the dead. But the holy Biſſhop of Lions knew this filthie errour. Away with them and their ſophiſtrie, whither they are worthie. I haue ſpoke alſo befor, ſomething of the ſame matter.
whitespace	1137	And that it might clerely appere vnto all menne,[note 37.13] that the prayers of the faythfull, offered to God through Chriſt, are pleaſaunt and acceptable, ther is added: and the ſmoke of the odoures aſcendeth, that is to ſaie, the prayers of the faithful were of God accepted: Therfore let vs offer dilligently our prayers vnto God through Chriſt. For he heareth vs, and deliuereth vs from euill. And the ſcripture many times calleth our prayers an acceptable ſacrifice to God. The pla[illegible]es are in Oſee. 14. in the .50. Pſalme. And in many other places. In the .141. the prophet ſayeth. Let my prayer be directed as incenſe in thy ſight, the lifting vp of my handes an euenyng ſacrifice. Primaſius expoundyng this place, ſayed how Chriſt is ſayed to haue taken of the prayers of Sainctes. For bycauſe through him the praiers of al maye come ſwetely vnto God.[note 37.14] Herof the Apoſtle: by him we offer vp alwayes a ſacrifice of prayſe vnto God, that is to ſaye, the fruicte of lippes confeſſyng his name.	And that it might clerely appere vnto all menne,[note 37.13] that the prayers of the faythfull, offered to God through Chriſt, are pleaſaunt and acceptable, ther is added: and the ſmoke of the odoures aſcendeth, that is to ſaie, the prayers of the faithful were of God accepted: Therfore let vs offer dilligently our prayers vnto God through Chriſt. For he heareth vs, and deliuereth vs from euill. And the ſcripture many times calleth our prayers an acceptable ſacrifice to God. The pla[illegible]es are in Oſee. 14. in the.50. Pſalme. And in many other places. In the.141. the prophet ſayeth. Let my prayer be directed as incenſe in thy ſight, the lifting vp of my handes an euenyng ſacrifice. Primaſius expoundyng this place, ſayed how Chriſt is ſayed to haue taken of the prayers of Sainctes. For bycauſe through him the praiers of al maye come ſwetely vnto God.[note 37.14] Herof the Apoſtle: by him we offer vp alwayes a ſacrifice of prayſe vnto God, that is to ſaye, the fruicte of lippes confeſſyng his name.
whitespace	1141	[note 37.16]After this we haue heard, that Chriſt filled the cenſer with fire taken from the Aultar, and ſent it downe into the Earth. By the whiche narration he retourneth agayne to finiſh the expoſition of the trompettes. This fire, is the grace of the holy ghoſte. That is put into the cenſer, is taken of the Aultar, is ſent doune into Earth. For Chriſte toke the fulnes of the ſpirite, as S. Iohn ſheweth in the .[illegible]. and .3. chapt. Chriſt is Aultar and cenſer. Of the Aultar here is take fire. For the holy ghoſte, is the ſpirite of the Father and of the Sonne. Whom, ſayeth he, I will ſende you from my father. Him he ſente into earth, vnder the ſhape of firie tounges: he ſendeth him alſo at this daye into the hartes of the faithfull, that he maye inflame them. This is the ſame fire, which the Lord in the goſpell of Luke ſayeth,[note 37.17] that he will ſende into the Earth, and would that it ſhould burne.	[note 37.16]After this we haue heard, that Chriſt filled the cenſer with fire taken from the Aultar, and ſent it downe into the Earth. By the whiche narration he retourneth agayne to finiſh the expoſition of the trompettes. This fire, is the grace of the holy ghoſte. That is put into the cenſer, is taken of the Aultar, is ſent doune into Earth. For Chriſte toke the fulnes of the ſpirite, as S. Iohn ſheweth in the.[illegible]. and.3. chapt. Chriſt is Aultar and cenſer. Of the Aultar here is take fire. For the holy ghoſte, is the ſpirite of the Father and of the Sonne. Whom, ſayeth he, I will ſende you from my father. Him he ſente into earth, vnder the ſhape of firie tounges: he ſendeth him alſo at this daye into the hartes of the faithfull, that he maye inflame them. This is the ſame fire, which the Lord in the goſpell of Luke ſayeth,[note 37.17] that he will ſende into the Earth, and would that it ſhould burne.
whitespace	1143	Moreouer the effecte of this fire followeth immediately. For there were made thonderinges, and voices, and lightninges, and Earthquake. By the voices of the Goſpell the woundes of ſinners are healed, and the hartes of men lighted by the illumination of the holy ſpirite, &c. Of the whiche thinges we haue ſpoken alſo in the .4. chapt. and .24. Sermo. Of the preaching of the Goſpell, as Haggeus alſo prophecied it ſhould come to paſſe, inſewed a wonderfull commotion of all nations, &c: Sathan alſo was ſtired, whiche reyſed vp his miniſters through out the worlde agaynſt holeſome preachyng of the Goſpell. For there ſprange vp ſectes, whome the mayneteyners of the veritie reſiſted, fightynge with them. Whereof nowe he wil reaſon at large. The Lord geue grace, that theſe thinges maye bothe be ſpoken and hearde with much fruicte.	Moreouer the effecte of this fire followeth immediately. For there were made thonderinges, and voices, and lightninges, and Earthquake. By the voices of the Goſpell the woundes of ſinners are healed, and the hartes of men lighted by the illumination of the holy ſpirite, &c. Of the whiche thinges we haue ſpoken alſo in the.4. chapt. and.24. Sermo. Of the preaching of the Goſpell, as Haggeus alſo prophecied it ſhould come to paſſe, inſewed a wonderfull commotion of all nations, &c: Sathan alſo was ſtired, whiche reyſed vp his miniſters through out the worlde agaynſt holeſome preachyng of the Goſpell. For there ſprange vp ſectes, whome the mayneteyners of the veritie reſiſted, fightynge with them. Whereof nowe he wil reaſon at large. The Lord geue grace, that theſe thinges maye bothe be ſpoken and hearde with much fruicte.
whitespace	1145	## ¶ Of the ſeuen Aungelles trompetters, and of the trompettes: and of the firſt ii. and iii. trompet. The .xxxviij. Sermon.	## ¶ Of the ſeuen Aungelles trompetters, and of the trompettes: and of the firſt ii. and iii. trompet. The.xxxviij. Sermon.
whitespace	1151	[note 38.1]S. Iohn therefore ſawe ſeuen Aungels ſtande in the ſight of God. To ſtande ſignifieth to miniſter, and compriſeth the faith and diligence of Miniſters. Seruauntes ſtande before kinges, ready to do ſeruice, and to execute al theyr commau dementes. We reade in the .1. chapter of Iob. The ſonnes of God came, and ſtoode before the Lord, and Sathan came alſo into the middes of them. The bleſſed Aungelles are called the children or ſonnes of God. They come to doe ſeruice before God: Sathan preaſeth in emongs them, foraſmuch as he is alſo the miniſter of God, for the executio of thoſe things, whiche apperteyne to the wrath and indignation of God agaynſt the wicked. Al elementes be Gods miniſters, and finally al the creatures of god. For he is the lord of Sabaoth, the God of hoſtes, whiche for the ſaluation and iudgement of men vſeth wel and rightly all his creatures: euery one accordyng to his nature and diſpoſition. For he vſeth the miniſterie of Aungels, like Aungels: and ſo the ſeruice of Deuils, as Deuils in dede. But where as the ſeueth numbre is the numbre of fulnes, conteyning in it ſelf al times: for there be ſeuen dayes of creation and reſt, there be ſeuen worldes or ages: certenly ſeuen Aungelles appere before God, for that they betoken all battels that ſhall be foughten to the ende of the world.	[note 38.1]S. Iohn therefore ſawe ſeuen Aungels ſtande in the ſight of God. To ſtande ſignifieth to miniſter, and compriſeth the faith and diligence of Miniſters. Seruauntes ſtande before kinges, ready to do ſeruice, and to execute al theyr commau dementes. We reade in the.1. chapter of Iob. The ſonnes of God came, and ſtoode before the Lord, and Sathan came alſo into the middes of them. The bleſſed Aungelles are called the children or ſonnes of God. They come to doe ſeruice before God: Sathan preaſeth in emongs them, foraſmuch as he is alſo the miniſter of God, for the executio of thoſe things, whiche apperteyne to the wrath and indignation of God agaynſt the wicked. Al elementes be Gods miniſters, and finally al the creatures of god. For he is the lord of Sabaoth, the God of hoſtes, whiche for the ſaluation and iudgement of men vſeth wel and rightly all his creatures: euery one accordyng to his nature and diſpoſition. For he vſeth the miniſterie of Aungels, like Aungels: and ſo the ſeruice of Deuils, as Deuils in dede. But where as the ſeueth numbre is the numbre of fulnes, conteyning in it ſelf al times: for there be ſeuen dayes of creation and reſt, there be ſeuen worldes or ages: certenly ſeuen Aungelles appere before God, for that they betoken all battels that ſhall be foughten to the ende of the world.
whitespace	1153	For to theſe ſeuen Aungels are geuen ſeuen trompettes, and the Aungels already had the trompettes, and euen prepared themſelues to blowe the on ſet.[note 38.2] Where chiefly the vſe of trompettes is to be ſearched for. The ſame is moſt plentifully deſcribed of Moſes, in the .10. of Nombres. The vſe of trompettes was diuerſe, as it is alſo at this daie. Firſt by the ſounde of the trompet the people of Iſrael were called together, to conſult of the comon welth. Agayne at the ſounde of the the Senate of princes of the people did aſſemble. Moreouer they were warned by the trompet, when and who ſhould remoue their tentes. Furthermore the trompets blewe vnto battel, what time they ioyned to fight, as maye be ſene in the .20. of Deuter. The people moreouer were called together with trompettes on the holy dayes to publicke and diuine ſeruice. Sounde with the trompet in Zion, call the congregation, ſayeth Iohel, gather the people. There was more ouer a feaſte of trompettes, and a Iubiley, hauing the name of the blowyng and ſounde of trompets: as appereth in the .25. of Leuit. Finally the preachyng of the veritie was figured by the ſounde of trompettes, neyther might any other blow the ſame but prieſtes. For it forceth much to whom you comitte or deliuer the ſignes publicke.	For to theſe ſeuen Aungels are geuen ſeuen trompettes, and the Aungels already had the trompettes, and euen prepared themſelues to blowe the on ſet.[note 38.2] Where chiefly the vſe of trompettes is to be ſearched for. The ſame is moſt plentifully deſcribed of Moſes, in the.10. of Nombres. The vſe of trompettes was diuerſe, as it is alſo at this daie. Firſt by the ſounde of the trompet the people of Iſrael were called together, to conſult of the comon welth. Agayne at the ſounde of the the Senate of princes of the people did aſſemble. Moreouer they were warned by the trompet, when and who ſhould remoue their tentes. Furthermore the trompets blewe vnto battel, what time they ioyned to fight, as maye be ſene in the.20. of Deuter. The people moreouer were called together with trompettes on the holy dayes to publicke and diuine ſeruice. Sounde with the trompet in Zion, call the congregation, ſayeth Iohel, gather the people. There was more ouer a feaſte of trompettes, and a Iubiley, hauing the name of the blowyng and ſounde of trompets: as appereth in the.25. of Leuit. Finally the preachyng of the veritie was figured by the ſounde of trompettes, neyther might any other blow the ſame but prieſtes. For it forceth much to whom you comitte or deliuer the ſignes publicke.
whitespace	1157	Of the good, and of their fight, we ſhal heare in the .11. and in the chapt. following. Neuertheles in euery coflict we muſt vnderſtad that the ſainctes ſlepe not, nor be any where idle, but to doe their duetie euery where. It was nowe in dede enough for the lord to ſhewe vs the heretikes and ſectaries ſighting, and to declare, how much they maye hurt, that we might watche more dilligently, and beware of all corruption.	Of the good, and of their fight, we ſhal heare in the.11. and in the chapt. following. Neuertheles in euery coflict we muſt vnderſtad that the ſainctes ſlepe not, nor be any where idle, but to doe their duetie euery where. It was nowe in dede enough for the lord to ſhewe vs the heretikes and ſectaries ſighting, and to declare, how much they maye hurt, that we might watche more dilligently, and beware of all corruption.
whitespace	1163	That men are ſignified by trees,[note 38.6] appereth by the .9. chapt. where it is ſayed, and they had comaundement, that they ſhuld not hurte the graſſe of the earth, nother any tree, ſauing only men, whiche are not &c. After he had ſayed, ſaue only thoſe trees, which were not marked: but he had rather ſaye, men, that he might as it were with this keye vnlocke the miſterie. Nother is it rare to ſhadowe men in the ſcriptures by trees, floures, and graſſe: as we maye gather of the .1. Pſalme, the. 40. of Eſaye, and the .12. chapt. of S. Matthew. But that latter poincte, that al grene graſſe was brent, muſte be fauourably expounded. For who can beleue that al men were diſtroyed by thoſe firſt hereſies? we vnderſtad therfore that the mindes of the faithful were diuerſely afflicted and tourmoyled with thoſe errours and troubles: but yet as the Golde tried in the fixe, not to be vtterly conſumed.	That men are ſignified by trees,[note 38.6] appereth by the.9. chapt. where it is ſayed, and they had comaundement, that they ſhuld not hurte the graſſe of the earth, nother any tree, ſauing only men, whiche are not &c. After he had ſayed, ſaue only thoſe trees, which were not marked: but he had rather ſaye, men, that he might as it were with this keye vnlocke the miſterie. Nother is it rare to ſhadowe men in the ſcriptures by trees, floures, and graſſe: as we maye gather of the.1. Pſalme, the. 40. of Eſaye, and the.12. chapt. of S. Matthew. But that latter poincte, that al grene graſſe was brent, muſte be fauourably expounded. For who can beleue that al men were diſtroyed by thoſe firſt hereſies? we vnderſtad therfore that the mindes of the faithful were diuerſely afflicted and tourmoyled with thoſe errours and troubles: but yet as the Golde tried in the fixe, not to be vtterly conſumed.
